127.0.0.1, 2015-06-16 12:16:29, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.088783
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001696
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002703
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000570
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000707
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000740
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001587
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001587
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001941
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002698
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003402
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002307
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002782
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002109
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000913
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001794
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000759
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000598
